WardName,Wardcode,Pop2013,Aged0_15,Aged16_64,Aged65plus,PctBame,PctNotBornUK,MeanHousePrice2013,PctOpenSpace,CarsPerHH2011,AvgPubTransAccessibility11,CrimeRate1213,PopDensityKm2013,PctWithNoQual11,PctLev4Qual11,TurnoutMayoralElection12,Candidate,x,y,InnerOuter
Redbridge - Barkingside,E05000496,13150,2550,8650,1950,64.2,40.5,345000,1.3446,1.212765957,3.3,63.0,8766.7,17.2,35.2,31.10754414,Boris,543424.2425,188963.6515,Outer
Redbridge - Bridge,E05000497,11950,2400,7850,1700,28.1,21.6,300000,35.9848,1.146910467,2.5,67.1,4596.2,19.9,29.9,32.39077995,Boris,541863.9601,191833.9369,Outer
Redbridge - Chadwell,E05000498,14850,3650,9650,1500,56.9,31.6,244000,4.817880000000001,1.040116279,2.4,63.7,9900.0,18.5,28.5,29.19929866,Ken,547252.2262,188403.5284,Outer
Redbridge - Church End,E05000499,11950,2250,8200,1450,26.5,22.1,320000,3.3206800000000003,1.053531898,2.9,88.0,7966.7,12.3,46.3,37.54666667,Boris,540145.6032,190675.5822,Outer
Redbridge - Clayhall,E05000500,13700,2800,8850,2050,71.0,38.8,347500,19.9163,1.4346660169999998,2.3,56.6,5480.0,17.0,34.0,41.32673009,Ken,542273.5307,189348.7849,Outer
Redbridge - Clementswood,E05000501,16150,4300,10650,1200,84.2,55.6,220000,7.72244,0.8077875309999999,3.4,150.3,12423.1,18.6,32.4,27.57916241,Ken,544375.3006,186281.4158,Outer
Redbridge - Cranbrook,E05000502,13350,2750,8900,1700,75.4,44.5,355000,33.3951,1.182338308,3.8,78.3,5562.5,17.6,37.2,31.80567189,Ken,542802.9227,187766.4841,Outer
Redbridge - Fairlop,E05000503,13000,2700,8500,1750,34.9,25.1,265000,48.2474,1.1913008459999999,3.0,70.1,3611.1,21.2,25.5,34.81246027,Boris,544440.2686,191115.1827,Outer
Redbridge - Fullwell,E05000504,13300,2800,8400,2100,48.5,29.6,273750,24.8713,1.179170159,2.3,63.8,6045.5,23.4,26.5,33.40460319,Boris,543318.2278,190363.83,Outer
Redbridge - Goodmayes,E05000505,13500,3300,9050,1100,75.2,46.3,249998,30.5549,1.006954436,3.6,78.7,8437.5,18.1,31.4,29.07758828,Ken,546396.6205,186858.9662,Outer
