,UUID,OBJEKTART,NAME,SPRACHCODE,E,N,"Z,,"
301643,{59AE60A2-1661-43C9-9132-1533B04AB538},Haltestelle Bus,"Breite b. Nürensdorf, Sternen",Hochdeutsch inkl. Lokalsprachen,2692082,1257389,"582,"
16715,{C017D904-38C3-4E9E-8E46-6BD7D53B9215},Huegel,Heitlig,Hochdeutsch inkl. Lokalsprachen,2676735,1262602,"533,,"
245946,{64AFAB4C-E4D2-4E47-BE92-F1CE43A45940},Flurname swisstopo,Choleri,Hochdeutsch inkl. Lokalsprachen,2780071,1202677,"1344,,"
189810,{725A0260-9B0D-444F-AE25-FBB1D2303368},Flurname swisstopo,Clos des Murailles,Franzoesisch inkl. Lokalsprachen,2554294,1162699,"720,,"
297241,{BEFE44E4-4CE9-424E-B463-9D6E8E84FDED},Flurname swisstopo,Lúsnu,Italienisch inkl. Lokalsprachen,2724985,1118788,"605,,"
81178,{F85368B2-6503-49CB-AFC1-4B8DCA31447E},Flurname swisstopo,Musterplatz,Hochdeutsch inkl. Lokalsprachen,2651762,1240178,"545,,"
206551,{4B61D69A-E495-4956-9C3B-909379F1C50C},Flurname swisstopo,Hinter Rigiwald,Hochdeutsch inkl. Lokalsprachen,2677972,1211803,"1260,,"
29751,{1E1160B7-C0FD-4B91-B54E-5CB130245376},Lokalname swisstopo,Rovine,Italienisch inkl. Lokalsprachen,2703677,1150419,"1346,,"
177293,{832BB95C-C957-4F34-B8DC-CEC635A989EF},Flurname swisstopo,Riedacher,Hochdeutsch inkl. Lokalsprachen,2586287,1183208,"793,,"
178597,{B47868C3-E7DD-494B-9A6B-F36FFE580F8E},Flurname swisstopo,Sviamaint,Rumantsch Grischun inkl. Lokalsprachen,2792470,1163129,"1670,,"
198230,{D89FB6A4-EE60-42EE-8206-A2BA1652C19B},Flurname swisstopo,Mondel,Italienisch inkl. Lokalsprachen,2733270,1124250,"330,,"
173819,{1980CEBA-7C0F-4879-8D01-ED5F042B195C},Flurname swisstopo,Le Closy,Franzoesisch inkl. Lokalsprachen,2552338,1186013,"602,,"
106822,{787ECDA6-173D-4E6B-9C4B-A304BEFBD308},Flurname swisstopo,Iifang,Hochdeutsch inkl. Lokalsprachen,2743802,1268646,"421,,"
